node_index,node_id,node_type,node_name,node_source
186,3875,gene/protein,KRT18,NCBI
187,843,gene/protein,CASP10,NCBI
188,2495,gene/protein,FTH1,NCBI
192,2768,gene/protein,GNA12,NCBI
193,3671,gene/protein,ISLR,NCBI
194,5579,gene/protein,PRKCB,NCBI
197,1432,gene/protein,MAPK14,NCBI
199,5423,gene/protein,POLB,NCBI
201,1543,gene/protein,CYP1A1,NCBI
202,10987,gene/protein,COPS5,NCBI
206,10236,gene/protein,HNRNPR,NCBI
207,4149,gene/protein,MAX,NCBI
208,2886,gene/protein,GRB7,NCBI
209,4627,gene/protein,MYH9,NCBI
210,4702,gene/protein,NDUFA8,NCBI
211,4878,gene/protein,NPPA,NCBI
213,3630,gene/protein,INS,NCBI
214,6464,gene/protein,SHC1,NCBI
215,7266,gene/protein,DNAJC7,NCBI
216,23385,gene/protein,NCSTN,NCBI
219,3398,gene/protein,ID2,NCBI
222,3615,gene/protein,IMPDH2,NCBI
223,4100,gene/protein,MAGEA1,NCBI
225,8525,gene/protein,DGKZ,NCBI
226,7307,gene/protein,U2AF1,NCBI
227,3554,gene/protein,IL1R1,NCBI
228,2041,gene/protein,EPHA1,NCBI
229,8087,gene/protein,FXR1,NCBI
235,409,gene/protein,ARRB2,NCBI
236,1029,gene/protein,CDKN2A,NCBI
237,5427,gene/protein,POLE2,NCBI
238,60,gene/protein,ACTB,NCBI
242,10142,gene/protein,AKAP9,NCBI
243,5145,gene/protein,PDE6A,NCBI
244,3326,gene/protein,HSP90AB1,NCBI
246,526,gene/protein,ATP6V1B2,NCBI
248,3727,gene/protein,JUND,NCBI
249,2896,gene/protein,GRN,NCBI
250,5364,gene/protein,PLXNB1,NCBI
251,890,gene/protein,CCNA2,NCBI
255,3837,gene/protein,KPNB1,NCBI
256,6628,gene/protein,SNRPB,NCBI
264,5347,gene/protein,PLK1,NCBI
266,8662,gene/protein,EIF3B,NCBI
268,5516,gene/protein,PPP2CB,NCBI
271,54206,gene/protein,ERRFI1,NCBI
272,9632,gene/protein,SEC24C,NCBI
273,8544,gene/protein,PIR,NCBI
279,3172,gene/protein,HNF4A,NCBI
280,10277,gene/protein,UBE4B,NCBI
281,4543,gene/protein,MTNR1A,NCBI
282,3958,gene/protein,LGALS3,NCBI
285,1994,gene/protein,ELAVL1,NCBI
286,4929,gene/protein,NR4A2,NCBI
287,5087,gene/protein,PBX1,NCBI
289,1207,gene/protein,CLNS1A,NCBI
290,6093,gene/protein,ROCK1,NCBI
291,5781,gene/protein,PTPN11,NCBI
292,6279,gene/protein,S100A8,NCBI
293,8315,gene/protein,BRAP,NCBI
294,8737,gene/protein,RIPK1,NCBI
296,1857,gene/protein,DVL3,NCBI
298,6608,gene/protein,SMO,NCBI
299,6713,gene/protein,SQLE,NCBI
300,5305,gene/protein,PIP4K2A,NCBI
301,1457,gene/protein,CSNK2A1,NCBI
303,2934,gene/protein,GSN,NCBI
309,5079,gene/protein,PAX5,NCBI
310,10576,gene/protein,CCT2,NCBI
311,5121,gene/protein,PCP4,NCBI
312,2634,gene/protein,GBP2,NCBI
313,7532,gene/protein,YWHAG,NCBI
314,580,gene/protein,BARD1,NCBI
315,1859,gene/protein,DYRK1A,NCBI
316,10241,gene/protein,CALCOCO2,NCBI
317,8454,gene/protein,CUL1,NCBI
319,10594,gene/protein,PRPF8,NCBI
320,10202,gene/protein,DHRS2,NCBI
321,5020,gene/protein,OXT,NCBI
322,2101,gene/protein,ESRRA,NCBI
324,51512,gene/protein,GTSE1,NCBI
326,3725,gene/protein,JUN,NCBI
327,6187,gene/protein,RPS2,NCBI
331,7111,gene/protein,TMOD1,NCBI
332,1019,gene/protein,CDK4,NCBI
337,695,gene/protein,BTK,NCBI
339,2175,gene/protein,FANCA,NCBI
341,590,gene/protein,BCHE,NCBI
344,3930,gene/protein,LBR,NCBI
349,6138,gene/protein,RPL15,NCBI
350,1051,gene/protein,CEBPB,NCBI
351,1745,gene/protein,DLX1,NCBI
352,3178,gene/protein,HNRNPA1,NCBI
357,408,gene/protein,ARRB1,NCBI
361,6647,gene/protein,SOD1,NCBI
362,7454,gene/protein,WAS,NCBI
363,367,gene/protein,AR,NCBI
366,26239,gene/protein,LCE2B,NCBI
367,7965,gene/protein,AIMP2,NCBI
368,5654,gene/protein,HTRA1,NCBI
371,25942,gene/protein,SIN3A,NCBI
372,10775,gene/protein,POP4,NCBI
373,4843,gene/protein,NOS2,NCBI
374,5586,gene/protein,PKN2,NCBI
375,2099,gene/protein,ESR1,NCBI
376,29128,gene/protein,UHRF1,NCBI
377,4223,gene/protein,MEOX2,NCBI
379,2580,gene/protein,GAK,NCBI
380,84445,gene/protein,LZTS2,NCBI
381,3605,gene/protein,IL17A,NCBI
383,6134,gene/protein,RPL10,NCBI
387,58,gene/protein,ACTA1,NCBI
388,640,gene/protein,BLK,NCBI
389,1385,gene/protein,CREB1,NCBI
390,238,gene/protein,ALK,NCBI
392,9110,gene/protein,MTMR4,NCBI
393,2038,gene/protein,EPB42,NCBI
394,3950,gene/protein,LECT2,NCBI
395,545,gene/protein,ATR,NCBI
397,267,gene/protein,AMFR,NCBI
398,7415,gene/protein,VCP,NCBI
400,4170,gene/protein,MCL1,NCBI
401,83606,gene/protein,GUCD1,NCBI
402,780,gene/protein,DDR1,NCBI
405,2244,gene/protein,FGB,NCBI
406,898,gene/protein,CCNE1,NCBI
407,9782,gene/protein,MATR3,NCBI
408,7270,gene/protein,TTF1,NCBI
409,810,gene/protein,CALML3,NCBI
410,583,gene/protein,BBS2,NCBI
412,6327,gene/protein,SCN2B,NCBI
413,5092,gene/protein,PCBD1,NCBI
414,5829,gene/protein,PXN,NCBI
417,7412,gene/protein,VCAM1,NCBI
418,5594,gene/protein,MAPK1,NCBI
420,2122,gene/protein,MECOM,NCBI
421,6720,gene/protein,SREBF1,NCBI
423,1327,gene/protein,COX4I1,NCBI
424,55143,gene/protein,CDCA8,NCBI
426,4436,gene/protein,MSH2,NCBI
427,2275,gene/protein,FHL3,NCBI
429,7189,gene/protein,TRAF6,NCBI
430,5911,gene/protein,RAP2A,NCBI
431,5879,gene/protein,RAC1,NCBI
432,9260,gene/protein,PDLIM7,NCBI
433,63978,gene/protein,PRDM14,NCBI
434,10950,gene/protein,BTG3,NCBI
436,8702,gene/protein,B4GALT4,NCBI
439,1267,gene/protein,CNP,NCBI
440,973,gene/protein,CD79A,NCBI
441,2264,gene/protein,FGFR4,NCBI
443,1876,gene/protein,E2F6,NCBI
444,11170,gene/protein,FAM107A,NCBI
445,3298,gene/protein,HSF2,NCBI
446,4666,gene/protein,NACA,NCBI
447,2740,gene/protein,GLP1R,NCBI
448,6899,gene/protein,TBX1,NCBI
449,6935,gene/protein,ZEB1,NCBI
450,8611,gene/protein,PLPP1,NCBI
452,1312,gene/protein,COMT,NCBI
453,3184,gene/protein,HNRNPD,NCBI
454,2624,gene/protein,GATA2,NCBI
455,1131,gene/protein,CHRM3,NCBI
457,1269,gene/protein,CNR2,NCBI
458,6009,gene/protein,RHEB,NCBI
459,7175,gene/protein,TPR,NCBI
460,6657,gene/protein,SOX2,NCBI
461,3838,gene/protein,KPNA2,NCBI
462,161742,gene/protein,SPRED1,NCBI
464,9775,gene/protein,EIF4A3,NCBI
467,2959,gene/protein,GTF2B,NCBI
469,55110,gene/protein,MAGOHB,NCBI
470,6925,gene/protein,TCF4,NCBI
471,50863,gene/protein,NTM,NCBI
472,9801,gene/protein,MRPL19,NCBI
476,2162,gene/protein,F13A1,NCBI
477,3561,gene/protein,IL2RG,NCBI
478,3009,gene/protein,H1-5,NCBI
482,8887,gene/protein,TAX1BP1,NCBI
484,5747,gene/protein,PTK2,NCBI
489,857,gene/protein,CAV1,NCBI
490,5159,gene/protein,PDGFRB,NCBI
492,6597,gene/protein,SMARCA4,NCBI
495,8342,gene/protein,H2BC14,NCBI
497,3091,gene/protein,HIF1A,NCBI
498,10043,gene/protein,TOM1,NCBI
499,3656,gene/protein,IRAK2,NCBI
500,7376,gene/protein,NR1H2,NCBI
501,27031,gene/protein,NPHP3,NCBI
502,8648,gene/protein,NCOA1,NCBI
503,4904,gene/protein,YBX1,NCBI
504,2271,gene/protein,FH,NCBI
505,2735,gene/protein,GLI1,NCBI
507,2355,gene/protein,FOSL2,NCBI
508,29950,gene/protein,SERTAD1,NCBI
509,2908,gene/protein,NR3C1,NCBI
513,22852,gene/protein,ANKRD26,NCBI
514,2804,gene/protein,GOLGB1,NCBI
515,602,gene/protein,BCL3,NCBI
516,2017,gene/protein,CTTN,NCBI
518,1454,gene/protein,CSNK1E,NCBI
519,3313,gene/protein,HSPA9,NCBI
521,57665,gene/protein,RDH14,NCBI
525,1962,gene/protein,EHHADH,NCBI
526,2566,gene/protein,GABRG2,NCBI
527,2597,gene/protein,GAPDH,NCBI
528,3215,gene/protein,HOXB5,NCBI
529,5705,gene/protein,PSMC5,NCBI
530,983,gene/protein,CDK1,NCBI
531,7528,gene/protein,YY1,NCBI
532,4988,gene/protein,OPRM1,NCBI
534,10204,gene/protein,NUTF2,NCBI
537,29115,gene/protein,SAP30BP,NCBI
538,5329,gene/protein,PLAUR,NCBI
540,9094,gene/protein,UNC119,NCBI
541,4175,gene/protein,MCM6,NCBI
543,6885,gene/protein,MAP3K7,NCBI
544,8928,gene/protein,FOXH1,NCBI
545,6840,gene/protein,SVIL,NCBI
546,1778,gene/protein,DYNC1H1,NCBI
548,6318,gene/protein,SERPINB4,NCBI
549,81,gene/protein,ACTN4,NCBI
551,10171,gene/protein,RCL1,NCBI
553,4751,gene/protein,NEK2,NCBI
554,672,gene/protein,BRCA1,NCBI
555,389,gene/protein,RHOC,NCBI
556,10460,gene/protein,TACC3,NCBI
557,54541,gene/protein,DDIT4,NCBI
560,5354,gene/protein,PLP1,NCBI
561,51655,gene/protein,RASD1,NCBI
562,9625,gene/protein,AATK,NCBI
564,221656,gene/protein,KDM1B,NCBI
566,5578,gene/protein,PRKCA,NCBI
567,7332,gene/protein,UBE2L3,NCBI
568,142,gene/protein,PARP1,NCBI
569,8553,gene/protein,BHLHE40,NCBI
572,3836,gene/protein,KPNA1,NCBI
574,846,gene/protein,CASR,NCBI
577,5925,gene/protein,RB1,NCBI
578,6446,gene/protein,SGK1,NCBI
579,648,gene/protein,BMI1,NCBI
580,5901,gene/protein,RAN,NCBI
585,1879,gene/protein,EBF1,NCBI
586,23673,gene/protein,STX12,NCBI
587,3066,gene/protein,HDAC2,NCBI
589,293,gene/protein,SLC25A6,NCBI
590,6208,gene/protein,RPS14,NCBI
591,229,gene/protein,ALDOB,NCBI
592,2177,gene/protein,FANCD2,NCBI
593,1032,gene/protein,CDKN2D,NCBI
594,1786,gene/protein,DNMT1,NCBI
595,6886,gene/protein,TAL1,NCBI
596,8736,gene/protein,MYOM1,NCBI
599,8661,gene/protein,EIF3A,NCBI
601,25,gene/protein,ABL1,NCBI
602,51741,gene/protein,WWOX,NCBI
604,7534,gene/protein,YWHAZ,NCBI
605,7289,gene/protein,TULP3,NCBI
606,9320,gene/protein,TRIP12,NCBI
608,55737,gene/protein,VPS35,NCBI
609,4919,gene/protein,ROR1,NCBI
610,2534,gene/protein,FYN,NCBI
611,351,gene/protein,APP,NCBI
614,5702,gene/protein,PSMC3,NCBI
615,5693,gene/protein,PSMB5,NCBI
616,7188,gene/protein,TRAF5,NCBI
617,6241,gene/protein,RRM2,NCBI
625,3575,gene/protein,IL7R,NCBI
626,26038,gene/protein,CHD5,NCBI
630,813,gene/protein,CALU,NCBI
631,11186,gene/protein,RASSF1,NCBI
632,3659,gene/protein,IRF1,NCBI
633,3660,gene/protein,IRF2,NCBI
635,9218,gene/protein,VAPA,NCBI
637,5725,gene/protein,PTBP1,NCBI
639,5791,gene/protein,PTPRE,NCBI
641,346,gene/protein,APOC4,NCBI
642,2706,gene/protein,GJB2,NCBI
644,5523,gene/protein,PPP2R3A,NCBI
645,8467,gene/protein,SMARCA5,NCBI
647,8048,gene/protein,CSRP3,NCBI
649,10097,gene/protein,ACTR2,NCBI
651,5566,gene/protein,PRKACA,NCBI
652,226,gene/protein,ALDOA,NCBI
654,8027,gene/protein,STAM,NCBI
656,2774,gene/protein,GNAL,NCBI
657,1671,gene/protein,DEFA6,NCBI
659,9317,gene/protein,PTER,NCBI
660,6139,gene/protein,RPL17,NCBI
662,5886,gene/protein,RAD23A,NCBI
663,5987,gene/protein,TRIM27,NCBI
664,6128,gene/protein,RPL6,NCBI
665,7132,gene/protein,TNFRSF1A,NCBI
666,2067,gene/protein,ERCC1,NCBI
667,2305,gene/protein,FOXM1,NCBI
668,2516,gene/protein,NR5A1,NCBI
669,10179,gene/protein,RBM7,NCBI
670,3895,gene/protein,KTN1,NCBI
672,4824,gene/protein,NKX3-1,NCBI
674,3068,gene/protein,HDGF,NCBI
676,2185,gene/protein,PTK2B,NCBI
679,9131,gene/protein,AIFM1,NCBI
680,2235,gene/protein,FECH,NCBI
681,7088,gene/protein,TLE1,NCBI
682,6310,gene/protein,ATXN1,NCBI
683,3164,gene/protein,NR4A1,NCBI
686,1154,gene/protein,CISH,NCBI
687,7913,gene/protein,DEK,NCBI
690,4800,gene/protein,NFYA,NCBI
691,975,gene/protein,CD81,NCBI
692,5698,gene/protein,PSMB9,NCBI
695,2074,gene/protein,ERCC6,NCBI
697,1558,gene/protein,CYP2C8,NCBI
698,48,gene/protein,ACO1,NCBI
699,331,gene/protein,XIAP,NCBI
700,8974,gene/protein,P4HA2,NCBI
702,5664,gene/protein,PSEN2,NCBI
703,6157,gene/protein,RPL27A,NCBI
704,8655,gene/protein,DYNLL1,NCBI
706,5916,gene/protein,RARG,NCBI
708,4286,gene/protein,MITF,NCBI
709,7037,gene/protein,TFRC,NCBI
711,9463,gene/protein,PICK1,NCBI
714,7046,gene/protein,TGFBR1,NCBI
715,4629,gene/protein,MYH11,NCBI
717,6133,gene/protein,RPL9,NCBI
718,5795,gene/protein,PTPRJ,NCBI
720,5739,gene/protein,PTGIR,NCBI
722,1967,gene/protein,EIF2B1,NCBI
726,1616,gene/protein,DAXX,NCBI
728,9821,gene/protein,RB1CC1,NCBI
729,6774,gene/protein,STAT3,NCBI
730,8831,gene/protein,SYNGAP1,NCBI
731,946,gene/protein,SIGLEC6,NCBI
733,51564,gene/protein,HDAC7,NCBI
735,3549,gene/protein,IHH,NCBI
738,6629,gene/protein,SNRPB2,NCBI
740,5914,gene/protein,RARA,NCBI
742,4654,gene/protein,MYOD1,NCBI
743,5663,gene/protein,PSEN1,NCBI
744,10438,gene/protein,C1D,NCBI
745,506,gene/protein,ATP5F1B,NCBI
746,1108,gene/protein,CHD4,NCBI
748,1109,gene/protein,AKR1C4,NCBI
749,7422,gene/protein,VEGFA,NCBI
750,3932,gene/protein,LCK,NCBI
754,3476,gene/protein,IGBP1,NCBI
756,8036,gene/protein,SHOC2,NCBI
758,1727,gene/protein,CYB5R3,NCBI
759,8890,gene/protein,EIF2B4,NCBI
760,5460,gene/protein,POU5F1,NCBI
763,5601,gene/protein,MAPK9,NCBI
764,952,gene/protein,CD38,NCBI
765,6233,gene/protein,RPS27A,NCBI
766,4582,gene/protein,MUC1,NCBI
769,1499,gene/protein,CTNNB1,NCBI
772,5970,gene/protein,RELA,NCBI
773,6426,gene/protein,SRSF1,NCBI
774,1488,gene/protein,CTBP2,NCBI
775,23594,gene/protein,ORC6,NCBI
776,114571,gene/protein,SLC22A9,NCBI
781,817,gene/protein,CAMK2D,NCBI
782,9978,gene/protein,RBX1,NCBI
784,5127,gene/protein,CDK16,NCBI
785,5140,gene/protein,PDE3B,NCBI
786,135228,gene/protein,CD109,NCBI
788,302,gene/protein,ANXA2,NCBI
789,5741,gene/protein,PTH,NCBI
790,338,gene/protein,APOB,NCBI
792,1831,gene/protein,TSC22D3,NCBI
794,7681,gene/protein,MKRN3,NCBI
795,6772,gene/protein,STAT1,NCBI
797,3069,gene/protein,HDLBP,NCBI
798,23085,gene/protein,ERC1,NCBI
799,2247,gene/protein,FGF2,NCBI
801,80196,gene/protein,RNF34,NCBI
802,1021,gene/protein,CDK6,NCBI
803,6606,gene/protein,SMN1,NCBI
804,57666,gene/protein,FBRSL1,NCBI
805,1050,gene/protein,CEBPA,NCBI
809,2972,gene/protein,BRF1,NCBI
812,79759,gene/protein,ZNF668,NCBI
814,10253,gene/protein,SPRY2,NCBI
816,10980,gene/protein,COPS6,NCBI
818,9837,gene/protein,GINS1,NCBI
819,3799,gene/protein,KIF5B,NCBI
822,2064,gene/protein,ERBB2,NCBI
826,1487,gene/protein,CTBP1,NCBI
827,6135,gene/protein,RPL11,NCBI
828,10249,gene/protein,GLYAT,NCBI
830,8899,gene/protein,PRPF4B,NCBI
831,10808,gene/protein,HSPH1,NCBI
832,360,gene/protein,AQP3,NCBI
833,9855,gene/protein,FARP2,NCBI
836,991,gene/protein,CDC20,NCBI
837,1742,gene/protein,DLG4,NCBI
839,1639,gene/protein,DCTN1,NCBI
841,1289,gene/protein,COL5A1,NCBI
843,7185,gene/protein,TRAF1,NCBI
844,6696,gene/protein,SPP1,NCBI
845,7812,gene/protein,CSDE1,NCBI
848,6141,gene/protein,RPL18,NCBI
849,1058,gene/protein,CENPA,NCBI
851,8841,gene/protein,HDAC3,NCBI
852,5034,gene/protein,P4HB,NCBI
854,498,gene/protein,ATP5F1A,NCBI
855,6709,gene/protein,SPTAN1,NCBI
857,1643,gene/protein,DDB2,NCBI
858,4771,gene/protein,NF2,NCBI
860,292,gene/protein,SLC25A5,NCBI
862,3516,gene/protein,RBPJ,NCBI
863,1654,gene/protein,DDX3X,NCBI
864,3358,gene/protein,HTR2C,NCBI
866,5595,gene/protein,MAPK3,NCBI
867,10342,gene/protein,TFG,NCBI
869,2553,gene/protein,GABPB1,NCBI
874,3736,gene/protein,KCNA1,NCBI
875,10403,gene/protein,NDC80,NCBI
878,4607,gene/protein,MYBPC3,NCBI
879,9861,gene/protein,PSMD6,NCBI
880,5339,gene/protein,PLEC,NCBI
882,467,gene/protein,ATF3,NCBI
883,5902,gene/protein,RANBP1,NCBI
884,56342,gene/protein,PPAN,NCBI
885,6137,gene/protein,RPL13,NCBI
887,2923,gene/protein,PDIA3,NCBI
889,6143,gene/protein,RPL19,NCBI
890,1452,gene/protein,CSNK1A1,NCBI
892,9219,gene/protein,MTA2,NCBI
893,4087,gene/protein,SMAD2,NCBI
897,5357,gene/protein,PLS1,NCBI
899,115265,gene/protein,DDIT4L,NCBI
901,27347,gene/protein,STK39,NCBI
902,5599,gene/protein,MAPK8,NCBI
904,4163,gene/protein,MCC,NCBI
905,6193,gene/protein,RPS5,NCBI
907,5153,gene/protein,PDE1B,NCBI
908,392,gene/protein,ARHGAP1,NCBI
910,30011,gene/protein,SH3KBP1,NCBI
912,6498,gene/protein,SKIL,NCBI
913,5435,gene/protein,POLR2F,NCBI
915,9277,gene/protein,WDR46,NCBI
917,6191,gene/protein,RPS4X,NCBI
918,3304,gene/protein,HSPA1B,NCBI
919,1284,gene/protein,COL4A2,NCBI
920,10544,gene/protein,PROCR,NCBI
923,10728,gene/protein,PTGES3,NCBI
924,170392,gene/protein,OIT3,NCBI
928,2556,gene/protein,GABRA3,NCBI
929,1896,gene/protein,EDA,NCBI
934,64221,gene/protein,ROBO3,NCBI
936,5607,gene/protein,MAP2K5,NCBI
938,1642,gene/protein,DDB1,NCBI
940,11284,gene/protein,PNKP,NCBI
945,6640,gene/protein,SNTA1,NCBI
949,4869,gene/protein,NPM1,NCBI
950,6950,gene/protein,TCP1,NCBI
955,2767,gene/protein,GNA11,NCBI
956,10769,gene/protein,PLK2,NCBI
957,2564,gene/protein,GABRE,NCBI
958,1072,gene/protein,CFL1,NCBI
959,8678,gene/protein,BECN1,NCBI
961,1948,gene/protein,EFNB2,NCBI
964,6386,gene/protein,SDCBP,NCBI
967,5245,gene/protein,PHB,NCBI
968,10207,gene/protein,PATJ,NCBI
970,4860,gene/protein,PNP,NCBI
973,3551,gene/protein,IKBKB,NCBI
974,8836,gene/protein,GGH,NCBI
977,6921,gene/protein,ELOC,NCBI
981,2303,gene/protein,FOXC2,NCBI
982,2551,gene/protein,GABPA,NCBI
983,23237,gene/protein,ARC,NCBI
984,3676,gene/protein,ITGA4,NCBI
985,1020,gene/protein,CDK5,NCBI
986,8784,gene/protein,TNFRSF18,NCBI
988,5894,gene/protein,RAF1,NCBI
989,5468,gene/protein,PPARG,NCBI
991,5997,gene/protein,RGS2,NCBI
992,23421,gene/protein,ITGB3BP,NCBI
993,10537,gene/protein,UBD,NCBI
994,4192,gene/protein,MDK,NCBI
995,182,gene/protein,JAG1,NCBI
998,9586,gene/protein,CREB5,NCBI
999,4007,gene/protein,PRICKLE3,NCBI
1001,3621,gene/protein,ING1,NCBI
1002,6777,gene/protein,STAT5B,NCBI
1004,3553,gene/protein,IL1B,NCBI
1007,5027,gene/protein,P2RX7,NCBI
1008,84281,gene/protein,C2orf88,NCBI
1012,2668,gene/protein,GDNF,NCBI
1013,2158,gene/protein,F9,NCBI
1014,1950,gene/protein,EGF,NCBI
1015,4601,gene/protein,MXI1,NCBI
1016,5591,gene/protein,PRKDC,NCBI
1017,2873,gene/protein,GPS1,NCBI
1018,23624,gene/protein,CBLC,NCBI
1019,6721,gene/protein,SREBF2,NCBI
1020,3728,gene/protein,JUP,NCBI
1025,6637,gene/protein,SNRPG,NCBI
1026,5515,gene/protein,PPP2CA,NCBI
1029,7507,gene/protein,XPA,NCBI
1031,26330,gene/protein,GAPDHS,NCBI
1036,64061,gene/protein,TSPYL2,NCBI
1037,3934,gene/protein,LCN2,NCBI
1039,1687,gene/protein,GSDME,NCBI
1044,3357,gene/protein,HTR2B,NCBI
1045,945,gene/protein,CD33,NCBI
1046,3054,gene/protein,HCFC1,NCBI
1047,1350,gene/protein,COX7C,NCBI
1048,2,gene/protein,A2M,NCBI
1049,785,gene/protein,CACNB4,NCBI
1050,3309,gene/protein,HSPA5,NCBI
1052,7168,gene/protein,TPM1,NCBI
1054,9774,gene/protein,BCLAF1,NCBI
1057,207,gene/protein,AKT1,NCBI
1062,6041,gene/protein,RNASEL,NCBI
1063,6880,gene/protein,TAF9,NCBI
1064,5966,gene/protein,REL,NCBI
1066,3480,gene/protein,IGF1R,NCBI
1069,815,gene/protein,CAMK2A,NCBI
1070,4522,gene/protein,MTHFD1,NCBI
1072,9817,gene/protein,KEAP1,NCBI
1073,2782,gene/protein,GNB1,NCBI
1074,1163,gene/protein,CKS1B,NCBI
1079,5104,gene/protein,SERPINA5,NCBI
1080,2091,gene/protein,FBL,NCBI
1082,2188,gene/protein,FANCF,NCBI
1083,3312,gene/protein,HSPA8,NCBI
1084,5692,gene/protein,PSMB4,NCBI
1085,8260,gene/protein,NAA10,NCBI
1089,10919,gene/protein,EHMT2,NCBI
1091,948,gene/protein,CD36,NCBI
1093,3043,gene/protein,HBB,NCBI
1094,5021,gene/protein,OXTR,NCBI
1095,3008,gene/protein,H1-4,NCBI
1097,3065,gene/protein,HDAC1,NCBI
1098,5978,gene/protein,REST,NCBI
1101,1003,gene/protein,CDH5,NCBI
1103,527,gene/protein,ATP6V0C,NCBI
1104,558,gene/protein,AXL,NCBI
1106,4291,gene/protein,MLF1,NCBI
1107,10363,gene/protein,HMG20A,NCBI
1108,9440,gene/protein,MED17,NCBI
1112,10376,gene/protein,TUBA1B,NCBI
1114,26,gene/protein,AOC1,NCBI
